zoneid,areatype05,areatype10,areatype15,areatype20,areatype30,areatype35,areatype40,ciacre05,ciacre10,ciacre15,ciacre20,ciacre30,ciacre35,ciacre40,resacre05,resacre10,resacre15,resacre20,resacre30,resacre35,resacre40,sfdu05,sfdu10,sfdu15,sfdu20,sfdu30,sfdu35,sfdu40,mfdu05,mfdu10,mfdu15,mfdu20,mfdu30,mfdu35,mfdu40,terminal05,terminal10,terminal15,terminal20,terminal30,terminal35,terminal40,oprkcst05,oprkcst10,oprkcst15,oprkcst20,oprkcst30,oprkcst35,oprkcst40,prkcst05,prkcst10,prkcst15,prkcst20,prkcst30,prkcst35,prkcst40,FID
740,4,4,4,4,4,4,4,87,87,87,87,87,87,87,308,308,308,308,308,308.57599,308.57599,1241,1120,1120,1120,1120,1131,1131,191,104,104,104,104,104,104,1.22582,1.2193,1.25062,1.26294,1.28657,1.29295,1.2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725
741,4,4,4,4,4,4,4,81,81,81,81,81,81,81,307,306,306,306,306,306,306,1426,1392,1392,1392,1392,1591,1591,322,331,331,331,331,190,190,1.21502,1.18198,1.20366,1.21164,1.23283,1.24767,1.25737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726
617,4,4,4,4,4,4,4,59,59,59,59,59,59,59,147,147,147,147,147,147,147,693,686,686,686,686,686,686,615,640,640,640,640,640,640,1.46748,1.44889,1.49445,1.50687,1.53692,1.54425,1.55067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727
742,3,3,3,3,3,3,3,733,734,734,734,734,734,734,554,665.30365,687.45361,687.45361,694.54877,730.80585,757.23151,2443,1256,1256,1256,1437,1472,1679,1365,4632,5191,6436,6439,7650,8237,1.9216,1.60131,1.69434,1.77382,1.92581,1.97695,2.00966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728
743,4,4,4,4,4,4,4,402,402,402,402,402,402,402,613,656,656,656,656,656,657.21521,2593,2675,2675,2675,2675,2675,2699,347,629,629,629,629,629,629,1.22299,1.25893,1.26798,1.29035,1.29549,1.29605,1.29815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729
744,4,4,4,4,4,4,4,94,94.20223,94.20223,94.20223,94.20223,94.20223,94.20223,381,382,382,382,382,382,382,1189,1210,1210,1210,1210,1210,1210,595,582,582,582,582,582,582,1.20149,1.37013,1.37395,1.40146,1.40658,1.40651,1.40195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730
745,4,4,4,4,4,4,4,13,13,29.0045,29.0045,29.0045,29.0045,29.0045,424,421,421,421,426.53162,426.53162,428.66855,1263,1280,1280,1280,1430,1430,1452,556,452,452,452,452,452,452,1.13005,1.12141,1.1251,1.13813,1.16152,1.16416,1.17449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731
746,4,4,4,4,4,4,4,116,117,117,117,117,117,117,2217,2570,2570,2570,2570,2701.86963,2705.51636,2009,2580,2580,2580,2580,2775,2780,137,157,157,157,157,157,157,1.00816,0.97801,0.98164,0.98513,0.98707,0.98703,0.98752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732
747,5,5,5,5,5,5,5,15,15,15,15,15,15,15,501,523,523,523,523,523,523,1107,1217,1217,1217,1222,1222,1222,0,0,0,0,0,0,0,1.03327,1.04501,1.05392,1.05585,1.06214,1.0629,1.06525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733
748,4,4,4,4,4,4,4,73,73,73,73,73,73,73,308,312,312,312,312,312,312,1196,1248,1248,1248,1248,1248,1248,0,0,0,0,0,0,0,1.10203,1.0972,1.1047,1.10954,1.11576,1.11696,1.1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734
749,4,4,4,4,4,4,4,138,138,138,138,138,138,138,266,270,270,270,270,270,270,1340,1380,1380,1380,1381,1383,1383,837,397,397,397,397,397,397,1.22822,1.25271,1.2751,1.27992,1.29191,1.29404,1.29627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735
750,2,2,2,2,2,2,2,489,489,489,489,489,489,489.1828,1,1,1,1,1,1.02796,2.12207,3,241,241,241,242,244,261,0,133,133,133,133,134,134,1.82067,1.47244,1.55483,1.59558,1.68876,1.72348,1.75141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736
770,4,4,4,4,4,4,4,106,106,106,106,106,106,106,377,371,371,371,371,371,371,1806,1541,1541,1541,1541,1541,1541,169,414,414,414,414,414,414,1.22895,1.27515,1.28816,1.30286,1.30902,1.3083,1.30349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737
771,4,4,4,4,4,4,4,155,155,155,155,155,155,155,467,464,464,464,464,464,466.08594,2281,2232,2232,2232,2232,2232,2243,273,240,240,240,240,240,240,1.21254,1.19727,1.20898,1.22145,1.23712,1.24396,1.24882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738
772,4,4,4,4,4,4,4,20,20,20,20,20,20,20,198,197,197,197,197.2326,197.2326,197.2326,1131,1107,1107,1107,1107,1107,1107,366,173,173,173,184,184,184,1.37683,1.38007,1.4099,1.41089,1.43639,1.44453,1.45113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739
773,4,4,4,4,4,4,4,217,218,218,218,218,218,218,227,232,232,232,232,232,232.02647,963,951,951,951,951,951,951,916,949,949,949,949,949,950,1.34524,1.32217,1.34555,1.36463,1.38239,1.38439,1.38759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740
618,4,4,4,4,4,4,4,8,8,8,8,8,8,8,377,385,385,385,387.2323,387.2323,387.2323,703,747,747,747,752,752,752,18,19,19,19,19,19,19,1.02765,1.04114,1.051,1.05541,1.06247,1.06473,1.06768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741
